frame.number,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len
198,2.856221000,192.168.2.20,192.168.2.20,37432,1935,7098
199,2.856283000,192.168.2.20,192.168.2.20,1935,37432,72
200,2.882331000,192.168.3.99,192.168.3.20,1935,56806,72
201,2.882516000,192.168.3.20,192.168.3.99,56806,1935,109
202,2.889262000,192.168.2.20,192.168.2.20,37432,1935,80
203,2.889375000,192.168.2.20,192.168.2.20,1935,37432,72
204,2.889408000,192.168.2.20,192.168.2.20,37432,1935,1975
205,2.889443000,192.168.2.20,192.168.2.20,1935,37432,72
206,2.922258000,192.168.2.20,192.168.2.20,37432,1935,80
207,2.922355000,192.168.2.20,192.168.2.20,1935,37432,72
208,2.922392000,192.168.2.20,192.168.2.20,37432,1935,1273
209,2.922425000,192.168.2.20,192.168.2.20,1935,37432,72
210,2.955739000,192.168.2.20,192.168.2.20,37432,1935,80
211,2.955861000,192.168.2.20,192.168.2.20,1935,37432,72
212,2.955928000,192.168.2.20,192.168.2.20,37432,1935,4923
213,2.956017000,192.168.2.20,192.168.2.20,1935,37432,72
214,2.956065000,192.168.2.20,192.168.2.20,37432,1935,12035
215,2.956119000,192.168.2.20,192.168.2.20,1935,37432,72
216,2.983969000,192.168.2.99,192.168.2.20,56806,1935,109
217,2.984103000,192.168.2.20,192.168.2.99,1935,56806,72
218,2.984186000,192.168.2.20,192.168.2.99,1935,56806,113
219,2.988849000,192.168.2.20,192.168.2.20,37432,1935,80
220,2.988947000,192.168.2.20,192.168.2.20,1935,37432,72
221,2.988986000,192.168.2.20,192.168.2.20,37432,1935,1717
222,2.989028000,192.168.2.20,192.168.2.20,1935,37432,72
223,3.022030000,192.168.2.20,192.168.2.20,37432,1935,80
224,3.022143000,192.168.2.20,192.168.2.20,1935,37432,72
225,3.022179000,192.168.2.20,192.168.2.20,37432,1935,1919
226,3.022220000,192.168.2.20,192.168.2.20,1935,37432,72
227,3.055714000,192.168.2.20,192.168.2.20,37432,1935,80
228,3.055849000,192.168.2.20,192.168.2.20,1935,37432,72
229,3.055915000,192.168.2.20,192.168.2.20,37432,1935,26795
230,3.056002000,192.168.2.20,192.168.2.20,1935,37432,72
231,3.084454000,192.168.3.99,192.168.3.20,1935,56806,72
232,3.085557000,192.168.3.99,192.168.3.20,1935,56806,113
233,3.085746000,192.168.3.20,192.168.3.99,56806,1935,84
234,3.088571000,192.168.2.20,192.168.2.20,37432,1935,80
235,3.088684000,192.168.2.20,192.168.2.20,1935,37432,72
236,3.088722000,192.168.2.20,192.168.2.20,37432,1935,1630
237,3.088764000,192.168.2.20,192.168.2.20,1935,37432,72
238,3.123496000,192.168.2.20,192.168.2.20,37432,1935,80
239,3.123625000,192.168.2.20,192.168.2.20,1935,37432,72
240,3.123698000,192.168.2.20,192.168.2.20,37432,1935,24304
241,3.123801000,192.168.2.20,192.168.2.20,1935,37432,72
242,3.155797000,192.168.2.20,192.168.2.20,37432,1935,80
243,3.155938000,192.168.2.20,192.168.2.20,1935,37432,72
244,3.156016000,192.168.2.20,192.168.2.20,37432,1935,3191
245,3.156096000,192.168.2.20,192.168.2.20,1935,37432,72
246,3.187006000,192.168.2.99,192.168.2.20,56806,1935,84
247,3.188600000,192.168.2.20,192.168.2.20,37432,1935,80
248,3.188697000,192.168.2.20,192.168.2.20,1935,37432,72
249,3.188727000,192.168.2.20,192.168.2.20,37432,1935,2856
250,3.188759000,192.168.2.20,192.168.2.20,1935,37432,72
251,3.222497000,192.168.2.20,192.168.2.20,37432,1935,80
252,3.222685000,192.168.2.20,192.168.2.20,1935,37432,72
253,3.222781000,192.168.2.20,192.168.2.20,37432,1935,20941
254,3.222850000,192.168.2.20,192.168.2.20,1935,37432,72
255,3.222883000,192.168.2.20,192.168.2.20,37432,1935,18609
256,3.222922000,192.168.2.20,192.168.2.20,1935,37432,72
257,3.227871000,192.168.2.20,192.168.2.99,1935,56806,72
258,3.255837000,192.168.2.20,192.168.2.20,37432,1935,80
259,3.255952000,192.168.2.20,192.168.2.20,1935,37432,72
260,3.255998000,192.168.2.20,192.168.2.20,37432,1935,2918
261,3.256040000,192.168.2.20,192.168.2.20,1935,37432,72
262,3.288496000,192.168.2.20,192.168.2.20,37432,1935,80
263,3.288631000,192.168.2.20,192.168.2.20,1935,37432,72
264,3.288757000,192.168.2.20,192.168.2.20,37432,1935,29120
265,3.288908000,192.168.2.20,192.168.2.20,1935,37432,72
266,3.288943000,192.168.2.20,192.168.2.20,37432,1935,6373
267,3.288983000,192.168.2.20,192.168.2.20,1935,37432,72
268,3.322180000,192.168.2.20,192.168.2.20,37432,1935,80
269,3.322313000,192.168.2.20,192.168.2.20,1935,37432,72
270,3.322375000,192.168.2.20,192.168.2.20,37432,1935,3993
271,3.322442000,192.168.2.20,192.168.2.20,1935,37432,72
272,3.355697000,192.168.2.20,192.168.2.20,37432,1935,80
273,3.355797000,192.168.2.20,192.168.2.20,1935,37432,72
274,3.355837000,192.168.2.20,192.168.2.20,37432,1935,3904
275,3.355894000,192.168.2.20,192.168.2.20,1935,37432,72
276,3.389029000,192.168.2.20,192.168.2.20,37432,1935,80
277,3.389126000,192.168.2.20,192.168.2.20,1935,37432,72
278,3.389169000,192.168.2.20,192.168.2.20,37432,1935,8638
279,3.389235000,192.168.2.20,192.168.2.20,1935,37432,72
280,3.389284000,192.168.2.20,192.168.2.20,37432,1935,31391
281,3.389344000,192.168.2.20,192.168.2.20,1935,37432,72
282,3.421898000,192.168.2.20,192.168.2.20,37432,1935,80
283,3.421988000,192.168.2.20,192.168.2.20,1935,37432,72
284,3.422027000,192.168.2.20,192.168.2.20,37432,1935,3075
285,3.422069000,192.168.2.20,192.168.2.20,1935,37432,72
286,3.455823000,192.168.2.20,192.168.2.20,37432,1935,80
287,3.455977000,192.168.2.20,192.168.2.20,1935,37432,72
288,3.456082000,192.168.2.20,192.168.2.20,37432,1935,29138
289,3.456206000,192.168.2.20,192.168.2.20,1935,37432,72
290,3.456252000,192.168.2.20,192.168.2.20,37432,1935,13676
291,3.456313000,192.168.2.20,192.168.2.20,1935,37432,72
292,3.489168000,192.168.2.20,192.168.2.20,37432,1935,80
293,3.489278000,192.168.2.20,192.168.2.20,1935,37432,72
294,3.489310000,192.168.2.20,192.168.2.20,37432,1935,4138
295,3.489344000,192.168.2.20,192.168.2.20,1935,37432,72
296,3.522091000,192.168.2.20,192.168.2.20,37432,1935,80
297,3.522173000,192.168.2.20,192.168.2.20,1935,37432,72
298,3.522203000,192.168.2.20,192.168.2.20,37432,1935,3146
299,3.522237000,192.168.2.20,192.168.2.20,1935,37432,72
300,3.555681000,192.168.2.20,192.168.2.20,37432,1935,76
301,3.555761000,192.168.2.20,192.168.2.20,1935,37432,72
302,3.555802000,192.168.2.20,192.168.2.20,37432,1935,9031
303,3.555876000,192.168.2.20,192.168.2.20,1935,37432,72
304,3.555928000,192.168.2.20,192.168.2.20,37432,1935,36387
305,3.555977000,192.168.2.20,192.168.2.20,1935,37432,72
306,3.588915000,192.168.2.20,192.168.2.20,37432,1935,80
307,3.589010000,192.168.2.20,192.168.2.20,1935,37432,72
308,3.589050000,192.168.2.20,192.168.2.20,37432,1935,3646
309,3.589094000,192.168.2.20,192.168.2.20,1935,37432,72
310,3.622341000,192.168.2.20,192.168.2.20,37432,1935,80
311,3.622427000,192.168.2.20,192.168.2.20,1935,37432,72
312,3.622461000,192.168.2.20,192.168.2.20,37432,1935,2654
313,3.622495000,192.168.2.20,192.168.2.20,1935,37432,72
314,3.656610000,192.168.2.20,192.168.2.20,37432,1935,80
315,3.656697000,192.168.2.20,192.168.2.20,1935,37432,72
316,3.656739000,192.168.2.20,192.168.2.20,37432,1935,9023
317,3.656796000,192.168.2.20,192.168.2.20,1935,37432,72
318,3.656854000,192.168.2.20,192.168.2.20,37432,1935,33276
319,3.656911000,192.168.2.20,192.168.2.20,1935,37432,72
320,3.688827000,192.168.2.20,192.168.2.20,37432,1935,80
321,3.688952000,192.168.2.20,192.168.2.20,1935,37432,72
322,3.689002000,192.168.2.20,192.168.2.20,37432,1935,3226
323,3.689045000,192.168.2.20,192.168.2.20,1935,37432,72
324,3.721905000,192.168.2.20,192.168.2.20,37432,1935,80
325,3.722008000,192.168.2.20,192.168.2.20,1935,37432,72
326,3.722056000,192.168.2.20,192.168.2.20,37432,1935,2834
327,3.722099000,192.168.2.20,192.168.2.20,1935,37432,72
328,3.755504000,192.168.2.20,192.168.2.20,37432,1935,80
329,3.755599000,192.168.2.20,192.168.2.20,1935,37432,72
330,3.755640000,192.168.2.20,192.168.2.20,37432,1935,8658
331,3.755700000,192.168.2.20,192.168.2.20,1935,37432,72
332,3.755776000,192.168.2.20,192.168.2.20,37432,1935,36356
333,3.755857000,192.168.2.20,192.168.2.20,1935,37432,72
