"No.","Time","Source","Destination","Protocol","Length","Info"
"3094","20.308137","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4547487 Win=126208 Len=0 TSval=637876392 TSecr=637876392"
"3095","20.313527","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3728114 Win=1326464 Len=0 TSval=637876398 TSecr=637876357"
"3096","20.313572","192.168.2.20","192.168.2.20","RTMP","5314","Audio Data|Video Data"
"3097","20.347540","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4547487 Ack=3483 Win=79744 Len=8 TSval=637876432 TSecr=637876392"
"3098","20.347618","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4547495 Win=126208 Len=0 TSval=637876432 TSecr=637876432"
"3099","20.347644","192.168.2.20","192.168.2.20","RTMP","11385","Audio Data|Audio Data|Video Data"
"3100","20.347702","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4558808 Win=126208 Len=0 TSval=637876432 TSecr=637876432"
"3101","20.354502","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3733356 Win=1321344 Len=0 TSval=637876439 TSecr=637876398"
"3102","20.354532","192.168.2.20","192.168.2.20","RTMP","11393","Audio Data|Audio Data|Video Data"
"3103","20.388866","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4558808 Ack=3483 Win=79744 Len=8 TSval=637876473 TSecr=637876432"
"3104","20.388918","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4558816 Win=126208 Len=0 TSval=637876473 TSecr=637876473"
"3105","20.388930","192.168.2.20","192.168.2.20","RTMP","858","Audio Data|Audio Data"
"3106","20.388943","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4559602 Win=126208 Len=0 TSval=637876473 TSecr=637876473"
"3107","20.388953","192.168.2.20","192.168.2.20","TCP","12370","39862  >  1935 [PSH, ACK] Seq=4559602 Ack=3483 Win=79744 Len=12298 TSval=637876473 TSecr=637876473"
"3108","20.388982","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4571900 Win=126208 Len=0 TSval=637876473 TSecr=637876473"
"3109","20.388994","192.168.2.20","192.168.2.20","RTMP","16838","Video Data"
"3110","20.389009","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4588666 Win=126208 Len=0 TSval=637876473 TSecr=637876473"
"3111","20.395489","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3744677 Win=1310080 Len=0 TSval=637876480 TSecr=637876439"
"3112","20.395517","192.168.2.20","192.168.2.20","RTMP","29930","Audio Data|Audio Data|Video Data"
"3113","20.428267","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4588666 Ack=3483 Win=79744 Len=8 TSval=637876512 TSecr=637876473"
"3114","20.428324","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4588674 Win=126208 Len=0 TSval=637876512 TSecr=637876512"
"3115","20.428339","192.168.2.20","192.168.2.20","RTMP","9038","Audio Data|Audio Data"
"3116","20.428379","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4597640 Win=126208 Len=0 TSval=637876512 TSecr=637876512"
"3117","20.428388","192.168.2.20","192.168.2.20","RTMP","9257","Video Data"
"3118","20.428400","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4606825 Win=126208 Len=0 TSval=637876512 TSecr=637876512"
"3119","20.436527","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3774535 Win=1280768 Len=0 TSval=637876521 TSecr=637876480"
"3120","20.436570","192.168.2.20","192.168.2.20","RTMP","18231","Audio Data|Audio Data|Video Data"
